1222947,198536,prior,12,3,11,7.0
2832973,198536,prior,13,3,11,0.0
450546,198536,prior,14,5,13,9.0
1512539,198536,prior,15,2,10,4.0
1246295,198536,prior,16,2,10,7.0
1647851,198536,prior,17,2,10,7.0
2669341,198536,prior,18,2,10,7.0
667612,198536,prior,19,2,09,14.0
767147,198536,prior,20,2,09,7.0
2406659,198536,prior,21,2,09,7.0
3333342,198536,prior,22,2,09,7.0
1130608,198536,prior,23,2,10,7.0
3077479,198536,prior,24,2,10,7.0
2413604,198536,prior,25,2,09,7.0
1652593,198536,prior,26,2,09,7.0
2988729,198536,prior,27,2,09,7.0
356810,198536,prior,28,1,10,20.0
2917743,198536,prior,29,1,10,7.0
369606,198536,prior,30,1,12,7.0
880382,198536,prior,31,1,13,7.0
1086196,198536,prior,32,2,10,15.0
2691454,198536,prior,33,5,15,3.0
935000,198536,prior,34,2,10,11.0
2661698,198536,prior,35,1,10,6.0
1101910,198536,prior,36,1,13,7.0
1289561,198536,prior,37,1,11,7.0
1661325,198536,prior,38,1,10,7.0
2391925,198536,prior,39,5,14,4.0
2951082,198536,prior,40,2,11,4.0
1658647,198536,prior,41,1,11,13.0
787470,198536,prior,42,1,10,7.0
326622,198536,prior,43,2,09,8.0
782480,198536,prior,44,1,10,6.0
1164877,198536,prior,45,3,17,2.0
2111752,198536,prior,46,5,15,2.0
138323,198536,prior,47,2,12,4.0
13186,198536,prior,48,5,14,3.0
3186175,198536,prior,49,5,12,7.0
261628,198536,test,50,5,10,7.0
1925872,198537,prior,1,3,07,
287452,198537,prior,2,0,14,11.0
221244,198537,prior,3,1,03,30.0
143722,198537,prior,4,0,19,6.0
3230929,198537,prior,5,0,14,14.0
1110406,198537,prior,6,0,16,14.0
1553309,198537,prior,7,0,17,28.0
2514368,198537,train,8,0,17,0.0
2066483,198538,prior,1,0,09,
392610,198538,prior,2,1,12,30.0
1503350,198538,prior,3,0,10,13.0
2033094,198538,prior,4,6,14,6.0
2156701,198538,prior,5,0,11,1.0
277230,198538,train,6,6,10,30.0
2520339,198539,prior,1,2,13,
1439395,198539,prior,2,2,12,14.0
1121105,198539,prior,3,5,12,3.0
729210,198539,prior,4,4,13,6.0
3106523,198539,prior,5,1,16,4.0
1787923,198539,prior,6,5,11,25.0
650892,198539,prior,7,1,10,17.0
808349,198539,prior,8,2,12,30.0
3007869,198539,prior,9,3,14,1.0
3114980,198539,test,10,5,11,2.0
613155,198540,prior,1,6,11,
726999,198540,prior,2,2,13,10.0
1599644,198540,prior,3,4,12,30.0
464182,198540,prior,4,4,14,21.0
1739320,198540,prior,5,1,10,11.0
3211524,198540,prior,6,0,15,20.0
840404,198540,prior,7,1,15,30.0
397809,198540,train,8,0,11,20.0
1843634,198541,prior,1,0,17,
3274779,198541,prior,2,1,09,8.0
485048,198541,prior,3,1,15,30.0
1248971,198541,prior,4,6,11,30.0
33599,198541,train,5,3,08,30.0
3066293,198542,prior,1,1,15,
3091696,198542,prior,2,2,17,8.0
2946890,198542,prior,3,1,16,30.0
217130,198542,prior,4,4,15,10.0
697917,198542,prior,5,0,20,30.0
2741029,198542,prior,6,5,13,12.0
929298,198542,prior,7,2,10,18.0
2272685,198542,prior,8,2,17,7.0
2081852,198542,prior,9,4,15,23.0
1801315,198542,prior,10,6,09,2.0
1302359,198542,prior,11,1,12,9.0
2288,198542,prior,12,6,10,5.0
1838880,198542,prior,13,5,08,13.0
2939244,198542,prior,14,2,15,4.0
2846743,198542,prior,15,6,13,4.0
55785,198542,prior,16,3,17,11.0
324911,198542,prior,17,0,07,30.0
2985496,198542,test,18,2,14,30.0
3142689,198543,prior,1,4,10,
2145802,198543,prior,2,4,08,7.0
1590833,198543,prior,3,4,10,21.0
215918,198543,prior,4,5,09,15.0
1174850,198543,prior,5,2,12,11.0
14460,198543,prior,6,5,09,10.0
1073985,198543,prior,7,4,14,13.0
932137,198543,prior,8,2,08,12.0
2299954,198543,prior,9,5,11,10.0
1261018,198543,prior,10,4,14,13.0
3105945,198543,prior,11,3,09,6.0
1459898,198543,prior,12,4,09,8.0
257216,198543,prior,13,2,11,30.0
2655416,198543,prior,14,5,15,24.0
2703037,198543,prior,15,4,11,13.0
1801112,198543,prior,16,1,12,11.0
783543,198543,prior,17,4,11,10.0
457813,198543,prior,18,2,11,12.0
3086034,198543,prior,19,4,09,9.0
353117,198543,prior,20,2,09,26.0
561779,198543,prior,21,3,08,8.0
3057225,198543,prior,22,2,10,6.0
1654764,198543,prior,23,4,08,9.0
1760055,198543,prior,24,4,13,7.0
2459701,198543,prior,25,1,10,11.0
1389295,198543,prior,26,5,11,18.0
3239611,198543,test,27,2,08,25.0
3410697,198544,prior,1,1,14,
259454,198544,prior,2,0,08,6.0
1583160,198544,prior,3,0,08,7.0
561858,198544,prior,4,6,18,6.0
1565778,198544,prior,5,5,08,6.0
3084703,198544,prior,6,6,17,1.0
2100753,198544,prior,7,3,14,4.0
2476020,198544,prior,8,6,09,10.0
3380336,198544,prior,9,6,16,21.0
1214382,198544,prior,10,0,19,30.0
2524409,198544,prior,11,5,12,30.0
1334454,198544,prior,12,5,13,14.0
534557,198544,prior,13,5,09,30.0
194267,198544,prior,14,4,09,6.0
2825178,198544,prior,15,0,10,24.0
3397248,198544,prior,16,5,07,12.0
3299458,198544,prior,17,0,10,23.0
1816888,198544,prior,18,1,13,15.0
2473678,198544,prior,19,1,17,7.0
542108,198544,prior,20,2,17,1.0
2148938,198544,prior,21,6,09,11.0
1447801,198544,prior,22,1,18,2.0
847179,198544,prior,23,5,17,4.0
1614739,198544,prior,24,3,15,26.0
2816501,198544,prior,25,6,12,3.0
139090,198544,prior,26,1,11,16.0
877342,198544,prior,27,1,18,7.0
284813,198544,prior,28,0,09,6.0
1127101,198544,train,29,1,06,1.0
1245676,198545,prior,1,6,13,
3273523,198545,prior,2,5,13,13.0
1833370,198545,prior,3,3,11,30.0
738984,198545,prior,4,3,19,30.0
1630178,198545,prior,5,6,15,30.0
803173,198545,prior,6,3,00,18.0
1534983,198545,prior,7,3,17,7.0
440294,198545,prior,8,6,17,17.0
2196200,198545,prior,9,5,02,20.0
2843444,198545,prior,10,6,12,8.0
2322271,198545,prior,11,1,21,30.0
227844,198545,prior,12,3,11,30.0
2939417,198545,prior,13,2,17,20.0
2266760,198545,train,14,6,14,25.0
3129560,198546,prior,1,1,11,
593946,198546,prior,2,2,12,22.0
1852565,198546,prior,3,2,10,7.0
865419,198546,prior,4,0,17,12.0
292973,198546,prior,5,1,10,8.0
1981683,198546,prior,6,1,09,30.0
186400,198546,prior,7,1,10,7.0
1567562,198546,prior,8,1,17,7.0
3255245,198546,prior,9,3,11,9.0
1613399,198546,prior,10,1,10,5.0
1139890,198546,prior,11,1,10,7.0
2926132,198546,prior,12,5,12,18.0
947192,198546,prior,13,1,12,3.0
1907352,198546,prior,14,6,16,5.0
1209703,198546,prior,15,1,17,30.0
582401,198546,prior,16,1,12,7.0
442725,198546,prior,17,6,16,5.0
1836704,198546,prior,18,1,10,9.0
2168144,198546,prior,19,3,10,9.0
1111478,198546,prior,20,1,17,5.0
3076166,198546,prior,21,1,14,7.0
3262858,198546,train,22,1,11,30.0
1184150,198547,prior,1,4,12,
1353481,198547,prior,2,3,13,6.0
2521233,198547,prior,3,4,08,15.0
1155313,198547,prior,4,1,11,25.0
59652,198547,prior,5,1,09,21.0
905964,198547,prior,6,2,09,29.0
1583271,198547,prior,7,2,08,14.0
2018436,198547,prior,8,2,08,14.0
104225,198547,prior,9,1,09,13.0
1877140,198547,train,10,5,14,4.0
1322920,198548,prior,1,0,08,
387622,198548,prior,2,6,21,13.0
1052517,198548,prior,3,0,08,8.0
3395320,198548,prior,4,5,21,5.0
1241760,198548,prior,5,1,09,3.0
87037,198548,prior,6,0,09,6.0
152124,198548,prior,7,0,09,7.0
2905986,198548,prior,8,0,09,7.0
1134008,198548,prior,9,6,16,6.0
1792496,198548,prior,10,0,12,8.0
3317990,198548,prior,11,0,10,14.0
230227,198548,prior,12,0,09,7.0
3310099,198548,prior,13,0,09,7.0
84089,198548,prior,14,4,14,4.0
2386363,198548,prior,15,0,11,3.0
629628,198548,prior,16,1,09,15.0
2446316,198548,prior,17,0,09,6.0
1234715,198548,prior,18,1,08,8.0
1967147,198548,prior,19,6,07,5.0
805360,198548,prior,20,0,09,1.0
71821,198548,prior,21,6,11,6.0
3057475,198548,prior,22,0,15,1.0
1581857,198548,prior,23,0,09,7.0
1489213,198548,prior,24,1,21,1.0
2097692,198548,prior,25,6,08,5.0
1807107,198548,prior,26,0,10,1.0
1737713,198548,prior,27,6,08,6.0
1044663,198548,prior,28,0,09,1.0
2739110,198548,prior,29,0,21,0.0
1312295,198548,prior,30,6,08,6.0
104272,198548,prior,31,0,10,1.0
858324,198548,prior,32,2,22,2.0
3203862,198548,prior,33,0,11,5.0
3266342,198548,prior,34,3,12,3.0
492170,198548,prior,35,0,10,4.0
221443,198548,prior,36,0,09,7.0
1942624,198548,prior,37,6,08,6.0
2637927,198548,prior,38,0,15,1.0
918764,198548,prior,39,0,15,0.0
1732627,198548,prior,40,0,10,7.0
535482,198548,prior,41,0,16,0.0
108129,198548,prior,42,0,10,7.0
1991213,198548,prior,43,4,22,4.0
1864827,198548,prior,44,6,08,2.0
3004735,198548,prior,45,1,09,2.0
3133293,198548,prior,46,6,09,5.0
2669972,198548,prior,47,0,16,1.0
1549797,198548,test,48,6,09,6.0
1046613,198549,prior,1,1,12,
1737295,198549,prior,2,0,11,30.0
1931626,198549,prior,3,0,11,0.0
490221,198549,prior,4,6,22,30.0
1525264,198549,prior,5,0,11,22.0
878262,198549,prior,6,2,10,9.0
1599911,198549,train,7,0,11,19.0
2216707,198550,prior,1,0,15,
2497110,198550,prior,2,6,14,6.0
1899523,198550,prior,3,6,16,7.0
2370411,198550,prior,4,6,22,7.0
2086861,198550,prior,5,6,08,7.0
2404301,198550,prior,6,6,23,0.0
2649339,198550,prior,7,6,21,7.0
1255740,198550,prior,8,2,21,3.0
