3416297,37646,4,0
3416297,10749,5,0
3416297,13514,6,0
3416297,39002,7,0
3416298,7398,1,1
3416298,47209,2,1
3416298,13176,3,1
3416298,39560,4,1
3416298,21137,5,1
3416298,21903,6,1
3416299,35336,1,0
3416299,8021,2,0
3416299,3957,3,0
3416299,6361,4,0
3416299,30391,5,0
3416299,4799,6,0
3416300,14355,1,1
3416300,39236,2,1
3416301,16465,1,0
3416301,44461,2,0
3416301,13842,3,1
3416301,26209,4,1
3416301,14947,5,1
3416301,30850,6,0
3416301,33827,7,0
3416302,34172,1,0
3416302,27570,2,0
3416302,22583,3,0
3416302,8536,4,0
3416302,33452,5,0
3416302,28829,6,0
3416302,8590,7,1
3416302,37142,8,0
3416302,46875,9,0
3416302,35042,10,0
3416302,44142,11,0
3416302,20114,12,0
3416302,41920,13,0
3416302,5436,14,0
3416302,12218,15,0
3416302,25970,16,0
3416302,25837,17,0
3416302,4776,18,0
3416302,29734,19,0
3416302,16797,20,0
3416302,30309,21,0
3416302,32712,22,0
3416302,27714,23,0
3416302,16826,24,0
3416302,41176,25,0
3416302,12149,26,0
3416302,13866,27,0
3416302,24852,28,1
3416303,10621,1,0
3416303,21295,2,1
3416303,40604,3,0
3416303,45646,4,0
3416303,24964,5,1
3416303,8988,6,0
3416303,37458,7,0
3416303,39479,8,0
3416303,35108,9,0
3416303,30169,10,1
3416303,16797,11,1
3416303,31663,12,0
3416303,28849,13,0
3416303,3142,14,0
3416303,7863,15,0
3416303,38383,16,0
3416303,47209,17,0
3416304,41658,1,1
3416304,16759,2,0
3416304,11520,3,1
3416304,27845,4,1
3416304,25138,5,1
3416304,13802,6,0
3416304,48835,7,0
3416305,19660,1,0
3416305,8859,2,0
3416306,12341,1,1
3416306,13176,2,1
3416306,30827,3,0
3416306,16797,4,1
3416307,35086,1,0
3416307,6318,2,0
3416307,6801,3,1
3416307,18171,4,0
3416307,5025,5,0
3416307,8193,6,0
3416307,27360,7,1
3416307,2515,8,0
3416307,32237,9,0
3416307,6022,10,1
3416308,19348,1,1
3416308,47912,2,1
3416309,9137,1,1
